Time,Data
0.884,-0.06516154971436693
0.888,-0.1245364042249768
0.892,-0.0909009404351504
0.896,-0.10025476364066067
0.9,-0.09359748419373275
0.904,-0.07892871760753685
0.908,-0.0872480846580071
0.912,-0.11955521148295269
0.916,-0.10184972967843609
0.92,-0.09313127639238594
0.924,-0.14039949441541796
0.928,-0.06265403226884249
0.932,-0.1308945442898261
0.936,-0.1061206907136911
0.94,-0.10833213775332756
0.944,-0.09652855767569762
0.948,-0.12170962887541142
0.952,-0.10687503594536148
0.956,-0.1400244697443916
0.96,-0.10715762746198935
0.964,-0.1072742126799881
0.968,-0.09537393543126488
0.972,-0.11945651225542012
0.976,-0.12952166625143618
0.98,-0.10956912712729626
0.984,-0.15259863124656545
0.988,-0.1406099216719205
0.992,-0.11760274820563121
0.996,-0.13557686742697925
1.0,-0.12953204272662697
1.004,-0.10946804433792005
1.008,-0.12238464936513536
1.012,-0.14028164180867347
1.016,-0.10915881258719551
1.02,-0.10401595955671382
1.024,-0.1398528875266406
1.028,-0.13466940827279814
1.032,-0.13446534054740644
1.036,-0.10124051008605331
1.04,-0.10799474961165756
1.044,-0.11772789883543942
1.048,-0.16743980445491508
1.052,-0.1451303201489219
1.056,-0.11679930656970067
1.06,-0.12644663133204484
1.064,-0.1110721689995397
1.068,-0.10367580106790744
1.072,-0.09125741594548774
1.076,-0.11781690893086615
1.08,-0.0803541821876795
1.084,-0.14686914471662296
1.088,-0.14136171232468503
1.092,-0.11283180759163583
1.096,-0.12227935983379855
1.1,-0.10670430506513243
1.104,-0.09410658595566
1.108,-0.11048615178726914
1.112,-0.13584295840692098
1.116,-0.13017696817730073
1.12,-0.12448814992494446
1.124,-0.1237764788858796
1.128,-0.09004193664881238
1.132,-0.09428451109590576
1.136,-0.04050419634118069
1.14,-0.05570099266658894
1.144,-0.10187490645578799
1.148,-0.10102595012566865
1.152,-0.102154142055674
1.156,-0.0912595065149554
1.16,-0.07334207358740598
1.164,-0.03740187909462401
1.168,0.0005610354831558069
1.172,0.006546623088107515
1.176,0.015554831167797432
1.18,-0.020414398239954015
1.184,-0.0023611284203679823
1.188,0.0037145721067750196
1.192,-0.015187370322641804
1.196,-0.0070670344251701845
1.2,0.007075496123740043
1.204,0.05024013278485126
1.208,0.027426782251780173
1.212,0.0026353465491048577
1.216,0.0238657231318932
1.22,-0.008882195013406804
1.224,-0.015608519266771913
1.228,-0.006313365271154888
1.232,-0.014996852827841682
1.236,-0.029659105790671957
1.24,-0.0053002519591756675
1.244,-0.03892042297068751
1.248,-0.025519754191496727
1.252,-0.031098384607086523
1.256,-0.049656456711525
1.26,-0.053194116396066526
1.264,-0.0197115128370203
1.268,0.02979120161705505
1.272,0.04631387155876809
1.276,0.03485633863586674
1.28,0.03441844166570552
1.284,0.03800001675014542
1.288,0.017600897390832267
1.292,0.06922091460478723
1.296,0.0828598970402553
1.3,0.13251767109274876
1.304,0.18919406102122585
1.308,0.385888889064348
1.312,0.6146019755567518
1.316,0.9713331390452798
1.32,1.3910821964051074
1.324,1.8628489629557123
1.328,2.1946332525766175
1.332,2.3344348778228645
1.336,2.0952536500401373
1.34,1.6400893794795022
1.344,1.071941875411689
1.348,0.5318109462408571
1.352,0.14069639961780162
1.356,-0.014401957447474141
1.36,-0.11048431847386148
1.364,-0.0955508773979899
1.368,-0.011601828463866062
1.372,0.00036263388664232093
1.376,-0.019657684877581134
1.38,-0.020662979269249503
1.384,-0.051653443676028116
1.388,-0.07862927225495524
1.392,-0.0875906588279786
1.396,-0.07953779677865964
1.4,-0.14247087895009808
1.404,-0.0703900975441231
1.408,-0.09129564402180712
1.412,-0.14918770900534556
